Experiment,Metric,Model
1,0.7394049098088536,mlp
1,0.7412096706675797,bi_gru
1,0.7421256422570238,gru
1,0.7431193246043165,none
1,0.7431193246043165,none
1,0.7431193246043165,none
1,0.7431193246043165,none
1,0.7422367393908881,gru
1,0.7381040524139042,mlp
1,0.7431193246043165,none
2,0.8308892553005368,mlp
2,0.8284445481825738,gru
2,0.8391382126737955,none
2,0.8391382126737955,none
2,0.8391382126737955,none
2,0.8337593937151978,mlp
2,0.8334647797645072,mlp
2,0.8391382126737955,none
2,0.8299509871707388,gru
2,0.8241385987654535,bi_gru
